student_id,department,year,subject,marks,attendance,assignment_completion,study_hours,sleep_hours,stress_level,gpa,mood,is_weak_subject,burnout_risk
1,Civil Engineering,1,Artificial Intelligence,73.66,84.78,79.1,6.02,6.53,66.01,2.95,burnout,0,0
1,Computer Science,1,Software Engineering,69.32,66.14,33.4,5.9,6.03,81.29,2.77,okay,1,0
1,Civil Engineering,1,Database Systems,64.89,68.86,54.94,0.0,7.09,68.16,2.6,burnout,1,0
1,Civil Engineering,4,Operating Systems,93.72,85.91,78.54,2.97,7.27,59.8,3.75,okay,0,0
1,Electronics,1,Data Structures,78.79,70.47,53.2,3.68,6.79,64.95,3.15,okay,1,0
1,Electronics,3,Mathematics,81.29,85.84,64.61,6.18,7.39,97.31,3.25,okay,0,0
2,Electronics,3,Software Engineering,68.6,75.48,53.15,2.56,8.85,80.13,2.74,burnout,0,0
2,Computer Science,4,Database Systems,69.81,53.55,51.44,3.23,8.63,77.6,2.79,burnout,1,0
2,Mechanical Engineering,1,Artificial Intelligence,72.59,93.97,76.18,3.38,8.81,86.85,2.9,burnout,0,0
2,Civil Engineering,3,Mathematics,62.43,77.22,58.43,1.61,9.0,94.71,2.5,burnout,0,0
3,Computer Science,2,Data Structures,86.18,91.93,97.69,4.68,8.05,65.05,3.45,happy,0,0
3,Mechanical Engineering,3,Artificial Intelligence,61.63,79.09,56.99,6.08,8.51,47.72,2.47,okay,0,0
3,Information Technology,3,Software Engineering,60.0,57.57,43.92,5.49,8.29,37.05,2.4,happy,1,0
3,Information Technology,2,Operating Systems,76.94,97.37,90.21,4.63,8.59,47.81,3.08,okay,0,0
4,Computer Science,2,Computer Networks,56.85,58.05,55.2,4.52,7.89,39.6,2.27,happy,1,0
4,Mechanical Engineering,3,Database Systems,59.18,73.69,62.89,2.4,8.21,37.24,2.37,happy,1,0
4,Civil Engineering,3,Mathematics,76.67,82.62,76.93,3.85,8.0,14.42,3.07,okay,0,0
4,Mechanical Engineering,4,Operating Systems,70.03,100.0,88.08,4.6,7.43,35.25,2.8,okay,0,0
4,Information Technology,3,Data Structures,70.64,91.28,90.06,2.18,7.31,49.44,2.83,burnout,0,0
5,Computer Science,1,Mathematics,74.17,93.85,100.0,5.75,10.1,33.26,2.97,happy,0,0
5,Information Technology,4,Computer Networks,74.35,61.66,60.85,2.17,10.21,39.32,2.97,burnout,1,0
5,Mechanical Engineering,4,Database Systems,61.16,66.72,56.48,5.11,10.55,47.51,2.45,burnout,1,0
5,Civil Engineering,1,Operating Systems,84.61,100.0,86.76,3.59,10.88,15.64,3.38,happy,0,0
5,Civil Engineering,3,Artificial Intelligence,97.52,66.99,66.47,6.43,10.71,28.42,3.9,stressed,1,0
6,Electronics,2,Database Systems,46.28,89.85,71.12,5.57,4.76,89.22,1.85,burnout,1,1
6,Electronics,2,Computer Networks,94.24,86.19,85.79,7.79,4.8,60.79,3.77,okay,0,0
6,Information Technology,1,Operating Systems,60.06,67.76,60.22,4.68,5.59,76.26,2.4,burnout,1,1
6,Computer Science,1,Data Structures,67.64,100.0,87.35,9.44,4.75,77.48,2.71,stressed,0,0
7,Computer Science,2,Operating Systems,57.7,91.11,77.47,5.55,7.55,99.57,2.31,okay,1,0
7,Civil Engineering,2,Artificial Intelligence,48.12,72.31,72.18,4.18,8.61,98.29,1.92,stressed,1,0
7,Civil Engineering,4,Software Engineering,56.84,67.87,71.65,4.1,8.26,98.1,2.27,okay,1,0
7,Information Technology,3,Data Structures,53.6,100.0,99.05,2.79,7.85,93.39,2.14,anxious,1,0
7,Electronics,4,Computer Networks,64.86,93.08,98.14,4.01,8.22,100.0,2.59,burnout,0,0
8,Civil Engineering,2,Artificial Intelligence,51.68,76.45,63.95,4.16,6.33,77.92,2.07,burnout,1,0
8,Computer Science,1,Operating Systems,72.12,55.81,45.51,6.18,6.73,49.29,2.88,okay,1,0
8,Computer Science,3,Data Structures,53.62,90.19,73.87,4.43,6.94,54.65,2.14,happy,1,0
8,Electronics,4,Software Engineering,95.34,89.51,60.31,4.37,7.69,35.06,3.81,okay,0,0
8,Civil Engineering,4,Mathematics,66.71,78.28,75.5,5.73,7.1,38.26,2.67,okay,0,0
9,Electronics,4,Software Engineering,76.33,99.0,92.87,7.3,6.94,46.79,3.05,anxious,0,0
9,Computer Science,1,Computer Networks,54.74,60.8,52.35,7.74,5.55,66.34,2.19,happy,1,0
9,Electronics,1,Operating Systems,47.48,78.42,50.63,1.4,6.68,84.14,1.9,okay,1,0
9,Civil Engineering,4,Artificial Intelligence,53.84,73.02,66.3,8.7,6.47,70.85,2.15,okay,1,0
9,Electronics,4,Data Structures,58.89,80.91,79.29,4.25,6.66,46.31,2.36,okay,1,0
10,Civil Engineering,1,Computer Networks,62.95,88.82,82.75,2.75,9.92,61.77,2.52,happy,0,0
10,Information Technology,2,Mathematics,65.24,92.74,87.04,2.61,10.32,72.16,2.61,anxious,0,0
10,Information Technology,4,Artificial Intelligence,68.55,89.44,72.21,2.88,10.47,69.64,2.74,happy,0,0
10,Computer Science,4,Data Structures,52.41,81.76,86.36,2.82,10.07,72.48,2.1,stressed,1,0
11,Information Technology,1,Database Systems,54.38,83.92,75.65,5.86,9.12,73.51,2.18,burnout,1,0
11,Computer Science,3,Computer Networks,70.64,92.81,80.82,2.77,9.18,92.98,2.83,happy,0,0
11,Mechanical Engineering,2,Mathematics,36.81,73.3,78.02,1.61,8.98,91.72,1.47,happy,1,0
11,Computer Science,2,Data Structures,72.04,79.87,50.98,7.54,9.05,70.35,2.88,happy,0,0
11,Information Technology,4,Artificial Intelligence,75.41,100.0,85.67,4.41,9.08,78.02,3.02,happy,0,0
